NSN,rep_office,common_name,Description,Price,UI,AAC
4020-00-068-7906,General Products,Rope,"Has a 890-lb. breaking strength. Diameter: 3/8"". Twisted in a ""ZSZ"" pattern, this three-strand rope is made of cotton/cotton-blend and is suitable for various uses. IAW A-A-52088.",117.19,SL,H
4020-00-068-7907,General Products,Rope,"Has a 1,450-lb. breaking strength. Diameter: 1/2"". Twisted in a ""ZSZ"" pattern, this three-strand rope is made of cotton/cotton-blend and is suitable for various uses. IAW A-A-52088.",168.48,SL,H
4020-00-141-7152,General Products,Rope,"Rope diameter 3/4"" each, three multi strands configuration. Has a 13,200-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",733.7,RL,H
4020-00-240-2142,General Products,Sash Cord,Has a 720-lb breaking strength. Polished finish is lustrous and smooth. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. IAW A-A-55622.,170.58,RL,H
4020-00-240-2146,General Products,Cord,"Braided polyamide nylon cord is light- and heat-resistant. Has a 550-lb. breaking strength and 30 percent minimum elongation. PIA-C-5040, Type III.",175.88,SL,H
4020-00-241-8439,General Products,Sash Cord,Has a 720-lb breaking strength. Natural Finish. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. IAW A-A-55622.,35.22,HK,H
4020-00-289-8616,General Products,Rope,"Rope diameter 5/8"" each, three multi strands configuration. Has a 3,960-lb breaking strength. Made of manila fibers, this rope is impregnated with an oil preservative. T-R-605.",269.1,CL,H
4020-00-551-3343,General Products,Sash Cord,Has a 370-lb breaking strength. Polished finish is lustrous and smooth. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. IAW A-A-55622.,141.16,RL,H
4020-00-782-5574,General Products,Twine,"Minimum two-ply twine has a breaking strength of 20-1/2 lb. Twine is rolled into a 5-lb cone. White cotton or cotton-polyester blend twine has a natural finish and an ""S"" twist. Red-colored 20' trailer indicates end of twine. A-A-1451.",26.8,CE,H
4020-00-919-3443,General Products,Rope,"Rope diameter 1"" each, three multi strands configuration. Has a 23,200-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",1196,RL,H
4020-00-928-3438,General Products,Rope,"Rope diameter 1/4"" each, three multi strands configuration. Has a 1,500-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",63.37,RL,H
4020-00-968-1350,General Products,Rope,"Rope diameter 1/4"" each, three multi strands configuration. Has a 1,125-lb breaking strength. Polypropylene fiber rope has a right-hand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",59.46,RL,H
4020-00-968-1351,General Products,Rope,"Rope diameter 3/8"" each, three multi strands configuration. Has a 2,430-lb breaking strength. Polypropylene fiber rope has a right-hand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",98.04,RL,H
4020-00-968-1356,General Products,Rope,"Rope diameter 3/8"" each, three multi strands configuration. Has a 3,300-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",168.48,RL,H
4020-00-968-1357,General Products,Rope,"Rope diameter 1/2"" each, three multi strands configuration. Has a 5,800-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",254.73,RL,H
4020-00-968-1358,General Products,Rope,"Rope diameter 5/8"" each, three multi strands configuration. Has a 9,800-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Heat and light resistant. IAW MIL-PRF-17343.",435.85,RL,H
4020-01-463-5852,General Products,Cord,Braided polyamide cord is both light and heat resistant. Has a 550-lb breaking strength and 30% minimun elongation. IAW MIL-C-5040H.,112.7,SL,H
4030-00-266-0085,General Products,Rope Thimble,"Thimble size is 3/8"" (nominal rope diameter). The light thimbles are intended for use where the full tension of the rope is not developed in normal use and for fiber rope. Thimbles are designed for fiber and wire ropes. Split oval construction, semi-circu",1.35,EA,H
4110-00-203-0565,Hardware,Office Water Cooler,"Water cooler quenches your thirst with electronically cooled water and features a self-closing faucet. A five-gallon inverted glass bottle, NSN 8125-00-132-9566 (not included), supplies water by the force of gravity. Freestanding unit has an air-cooled co",232.55,EA,H
4110-00-255-8760,Hardware,Office Water Cooler,"Fresh water at your fingertips.  Bubbler-style drinking water dispenser gives a stream of water that arches from the outlet to the drain pan.  Attaches to normal, pressurized water supply pipe.  Electrically cooled unit has a self-closing faucet and is en",491.11,EA,H
4130-00-541-3220,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",33.21,DZ,H
4130-00-720-4143,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",35.31,DZ,H
4130-00-756-1840,General Products,Air Conditioner Filter,"This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",16.42,DZ,H
4140-00-256-9912,Hardware,Circulating Fan,"Minimum 2000 cfm air flow. Keep cool with this three-speed oscillating fan. Features on-off switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impact-resistant plastic bl",39.69,EA,H
4140-00-851-9319,Hardware,Circulating Fan,"Minimum 4000 cfm air flow. Keep cool with this three-speed oscillating fan. Features on-off switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impact-resistant plastic bl",45.51,EA,H
4140-00-961-5480,Hardware,Circulating Fan,"Minimum 2600 cfm air flow. Beat the heat with this high-velocity, two-speed fan. Use on the floor, desk or wall as an air circulator. It may also be used in the window for exhaust or intake purposes. The plastic blades circulate  a minimum of 2600 CFM of ",66.91,EA,H
4140-01-278-1527,Hardware,Circulating Fan,"Fan provides 8050 cfm air flow. Oscillates a minimum of 80° and can be locked at any point on that oscillation range. Stay cool with this column-mounted, two-speed (minimum) pedestal fan that adjusts to heights up to 96"". Head of fan tilts 5° below and 15",419.87,EA,H
4210-00-165-4703,General Products,Fire Extinguisher,Rating is 3A:40B:C with a 5-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 testi,48.67,EA,H
4210-00-595-1777,General Products,Fire Extinguisher,"Rating is 5B:C with a 5-lb. charge. USCG approved mounting bracket is included. Carbon dioxide (CO2) fire extinguisher. UL 154.  USCG approved for marine use. Designed for extinguishing small fires. Ratings are based on UL 711 testing, which uses the foll",241.9,EA,H
4210-00-775-0127,General Products,Fire Extinguisher,"Rating is 20B:C with a 5-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, w",83.27,EA,H
4210-00-889-2491,General Products,Fire Extinguisher,Rating is 4A:60B:C with a 10-lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 test,145.73,EA,H
4210-00-889-2492,General Products,Fire Extinguisher,Rating is 10A:120B: C: with a 20-lb. charge. Has stored pressure and is refillable. Wall-mounting bracket included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 tes,139.66,EA,H
4210-00-965-1105,General Products,Fire Extinguisher,"Rating is 10B:C with 2-1/2-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing,",48.31,EA,H
4210-00-965-1107,General Products,Fire Extinguisher,"Rating is 80B:C with a 10-lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, whi",132.96,EA,H
4210-01-245-9850,General Products,Fire Extinguisher,Rating is 1A:10B:C with a 2-1/2 lb. charge. Has stored pressure and is refillable. DOT/USCG approved vehicle/marine mounting bracket is included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. R,40.23,EA,H
4240-00-052-3776,General Products,Safety Goggles,"Safety-type goggles provide eye protection against small flying particles of dust, chips and machine cuttings. Molded plastic flexible frame has clear plastic lenses and an adjustable elastic webbing headband. Goggles are ventilated to reduce fogging and ",3.46,PR,H
4240-00-203-3804,General Products,Safety Goggles,"Welder's regular-type goggles have high-density screw-on filter lens for acetylene welding and cutting. Two cover lenses protect filter lenses from pitting. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles",9.95,PR,H
4240-00-262-7092,General Products,Industrial Goggle Lenses,"Clear cover plate to protect filter lenses. (Indirect ventilation eyecup lenses only.) Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Well-polished, smooth and free of rough edges. ANSI Z87.1.",3.39,PR,H
4240-00-262-7099,General Products,Industrial Goggle Lenses,"Filter Shade No. 6. (Indirect ventilation eyecup lenses only). Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Well-polished, smooth and free of rough edges. ANSI Z87.1.",5.75,PR,H
4240-00-269-7912,General Products,Safety Goggles,"Chipper's and grinder's cover-cup-type goggles have clear lenses, 50 mm-diameter. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles. A flexible, adjustable nose bridge connects two rigid eyecups. Goggles pr",8,PR,H
4240-00-269-9460,General Products,Safety Glasses,"Filter shade #2. For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",9.96,PR,H
4240-00-270-4415,General Products,Hand Held Arc Viewing Shield,"Inspectors model hand held arc viewing shield. Consist of shell and lens, no headgear. Shade number 10 safety plate, 2 x 4-1/4"". Front-mounted handle, durable, washable, thermoplastic shell. Original Huntsman shape.   The handheld shield completely shield",25.19,EA,H
4240-00-516-4527,General Products,Safety Glasses,"For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.98,PR,H
4240-00-516-4728,General Products,Safety Glasses,"For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.58,PR,H
4240-00-540-0623,General Products,Welder's Helmet,"Full-coverage welder's face shield protects the head and neck from welding splatter and radiant energy. Features a 4.25"" x 2"" flip-up shade plate holder. Helmet includes headgear that can rotate up out of the way. No.10 shade plate and clear cover plate i",50.31,EA,H
4240-00-542-2048,General Products,Face Shield,"ANSI Z87.1. Adjustable headgear includes ar crown protector with a flip-up faceshield.  Clear plastic 9"" x 17"" window tilts up to provide clear view when protection is not required. Made of corrosion-resistant metal parts and slow-burning plastic parts.",9.79,EA,H
